"DO NOT EDIT ANY CELL VALUES! - JUST ADD YOUR COMMENTS! (but if you edit, highlight the cell in yellow!)",,,,,,,,,,,,,,,,,,,,https://ieee-cas.org/award/outstanding-paper-awards/outstanding-young-author-award,
award_SA,record_count,award_name,award_link,individual,award_year,awardee_name,awardee_gender,gender_source,affiliation_institution,affiliation_country,affiliation_info_source,awardee_comment1,shared,awardee_profile_shown,awardee_photo_shown,awardee_comment2,awarded_paper_ref,awarded_paper_doi,checked,checker_name,checker_comment
Agricultural and Biological Sciences,1,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2022,Angela Illuminati,F,pronouns,"Rey Juan Carlos University (URJC, Madrid",Spain,award page,,no,yes,yes,,"Illuminati, A., Querejeta, J. I., Pías, B., Escudero, A., & Matesanz, S. (2022). Coordination between water uptake depth and the leaf economic spectrum in a Mediterranean shrubland. Journal of Ecology, 110, 1844– 1856. https://doi.org/10.1111/1365-2745.13909",10.1111/1365-2745.13909,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,2,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2021,Dina in ‘t Zandt,F,pronouns,"Czech Academy of Sciences, Průhonice",Czech Republic,award page,,no,yes,yes,,"in 't Zandt, D, Herben, T, van den Brink, A, Visser, EJW, de Kroon, H. Species abundance fluctuations over 31 years are associated with plant–soil feedback in a species-rich mountain meadow. J Ecol. 2021; 109: 1511– 1523. https://doi.org/10.1111/1365-2745.13574",10.1111/1365-2745.13574,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,3,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2020,Blanca Arroyo‐Correa,F,name,"CSIC, Sevilla",Spain,article,,no,no,yes,,"Arroyo-Correa, B, Burkle, LA, Emer, C. Alien plants and flower visitors disrupt the seasonal dynamics of mutualistic networks. J Ecol. 2019; 108: 1475– 1486. https://doi.org/10.1111/1365-2745.13332",10.1111/1365-2745.13332,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,4,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2020,Atul Joshi,M,name,"Tata Institute of Fundamental Research, GKVK Campus, Bangalore",India,article,,no,no,yes,,"Joshi, AA, Ratnam, J, Sankaran, M. Frost maintains forests and grasslands as alternate states in a montane tropical forest–grassland mosaic; but alien tree invasion and warming can disrupt this balance. J Ecol. 2020; 108: 122– 132. https://doi.org/10.1111/1365-2745.13239",10.1111/1365-2745.13239,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,5,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2019,Maria Leunda,F,pronouns,"Pyrenean Institute of Ecology (IPE-CSIC), Zaragoza",Spain,award page,,no,yes,yes,,"Leunda, M, González-Sampériz, P, Gil-Romera, G, et al. Ice cave reveals environmental forcing of long-term Pyrenean tree line dynamics. J Ecol. 2019; 107: 814– 828. https://doi.org/10.1111/1365-2745.13077",10.1111/1365-2745.13077,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,6,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2018,Rutuja Chitra‐Tarak,F,pronouns,"Indian Institute of Science, Bangalore",India,award page,,no,yes,yes,,"Chitra-Tarak, R, Ruiz, L, Dattaraja, HS, et al. The roots of the drought: Hydrology and water uptake strategies mediate forest-wide demographic response to precipitation. J Ecol. 2018; 106: 1495– 1507. https://doi.org/10.1111/1365-2745.12925",10.1111/1365-2745.12925,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,7,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2017,Jenny Zambrano,F,pronouns,"National Socio-Environmental Synthesis Center (SESYNC), Annapolis, MD",USA,award page,,no,yes,yes,,"Zambrano, J., Iida, Y., Howe, R., Lin, L., Umana, M.N., Wolf, A., Worthy, S.J. and Swenson, N.G. (2017), Neighbourhood defence gene similarity effects on tree performance: a community transcriptomic approach. J Ecol, 105: 616-626. https://doi.org/10.1111/1365-2745.12765",10.1111/1365-2745.12765,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,8,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2016,Martina Treurnicht,F,pronouns,Stellenbosch University ,South Africa ,award page,,no,yes,yes,,"Treurnicht, M., Pagel, J., Esler, K.J., Schutte-Vlok, A., Nottebrock, H., Kraaij, T., Rebelo, A.G. and Schurr, F.M. (2016), Environmental drivers of demographic variation across the global geographical range of 26 plant species. J Ecol, 104: 331-342. https://doi.org/10.1111/1365-2745.12508",10.1111/1365-2745.12508,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,9,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2015,Yuuya Tachiki,M,pronouns,Kyushu University,Japan,award page,,no,yes,yes,,"Tachiki, Y., Makita, A., Suyama, Y. and Satake, A. (2015), A spatially explicit model for flowering time in bamboos: long rhizomes drive the evolution of delayed flowering. J Ecol, 103: 585-593. https://doi.org/10.1111/1365-2745.12390",10.1111/1365-2745.12390,yes,Joanna Rutkowska,capitalize country ID
Agricultural and Biological Sciences,10,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2014,Michiel Veldhuis,M,pronouns,University of Groninge,Netherlands,award page,,no,no,no,,"Veldhuis, M.P., Howison, R.A., Fokkema, R.W., Tielens, E. and Olff, H. (2014), A novel mechanism for grazing lawn formation: large herbivore-induced modification of the plant–soil water balance. J Ecol, 102: 1506-1517. https://doi.org/10.1111/1365-2745.12322",10.1111/1365-2745.12322,yes,Joanna Rutkowska,
