Timestamp,Name of the extracting person,Scimago Subject Area,Full name of the award,Source of the information on the award,Paste the information text describing the award,Confirm eligibility of the award,Comment on the award eligibility ,Full name of the awarding journal,Full name of the awarding society,Full name of the awarding publisher/other body,Comment on the awarding body ,Award cash,Comment on the award cash ,"Target career stage of eligible applicants, as stated in the award information ",Comment on the career stage ,Flexibility of the eligibility criteria,Eligibility phrasing,Inclusivity statement,Inclusivity phrasing,Assessor transparency,Assessor phrasing,Process transparency,Process phrasing,Feedback availability,Feedback phrasing,Criteria transparency,Criteria phrasing,Valuing Open Science,Valuing Open Science phrasing,Self-nomination allowed,Self-nomination phrasing,Letter required,Letter requirement phrasing,Awardee list source,Awardee list most recent year ,Awardee list earliest year ,Comments on awardees list,Comments_general,,,,,,
11/1/2022 13:36:20,Losia,,Publisher's Award for Excellence in Systematic Research,,,,,Systematic Biology,The Society of Systematic Biologists,,sponsored by the publisher,,,student,,not applicable,"""The lead author must have been a student at the time the research was conducted.""",no,,yes,"""The winner is selected by a committee consisting of the President and the Editor.""",no,,no,,no,"""The award is presented to the two best papers ...""",no,,unclear,"""No application is required.""",no,"""No application is required.""",https://www.systbio.org/publishers-award.html,2018,1998,ask about nomination process?,pilot extraction,,,,,,
11/1/2022 13:41:50,Losia,,Ecology Letters Early Career Researcher Award,https://onlinelibrary.wiley.com/page/journal/homepage/14610248/ecologylettersaward?=,,,,Ecology Letters,NA,NA,,,,"student, early-career",,no,"""To be eligible, you must be the first author on the paper you submit, and at any career stage from Masters up to postdoctoral researcher (within three years of your PhD).""",no,,no,,no,,no,,no,,no,,yes,"""To nominate your paper that was submitted to Ecology Letters, please send the title of your paper via email or tick the self-nominate box when submitting your paper to Ecology Letters.""",no,"""To nominate your paper that was submitted to Ecology Letters, please send the title of your paper via email or tick the self-nominate box when submitting your paper to Ecology Letters.""",https://onlinelibrary.wiley.com.www/page/journal/homepage/14610248/ecologylettersaward?=,2021,2019,,pilot extraction,,,,,,
11/3/2022 21:47:15,Yefeng Yang,,Administrative Science Quarterly Dissertation Award,"Nil (discuss point: if no such a link, we should tell participant what to fill in)",,,,"Administrative Science Quarterly (discussion point: caption seems wrong - it should be ""Record if award is associated with specific society. Leave empty if not associated with a specific society."")","discussion point: caption seems wrong - it should be ""Record if award is associated with specific society. Leave empty if not associated with a specific society.""","discussion point: caption seems wrong - it should be ""Record if award is associated with specific publisher. Leave empty if not associated with a specific publisher.""",,,,unclear,,not applicable,"Two cmments related to the above question: (1) if no inormation concerning eligibility criteria is provided on the website, what the participants choose? Should be unclear? We should add this to the caption of the above question
(2) if the eligibility criteria provided on the website does not mention the eligible timeframes, what to choose? Probably add a new option - unclear?

One comment to the current questions: we should add the following to the caption of this question: if no inormation concerning eligibility criteria is provided on the website, leave empty;
",unclear,The same comments as the above,unclear,"One comment of the above question:
we should add the following to the caption of this question: if no inormation concerning assessor is provided on the website, choose unclear

Also, if no information is provided, leave empty here",no,,no,"comment related to the above question: the caption is a bit difficult to understand, can we provide more explanation

comment related to the current question: add if not provided or mentioned, leave empty",unclear,The same comments as above,unclear,The same comments as above,unclear,The same comments as above,unclear,The same comments as above,"https://journals.sagepub.com/topic/collections-asq/asq-2_asq_dissertation_award/asq

What dose ""past winners""? So we aim survey the paper awards commencing in 2022?",2022,2022,"Tell participant what to fill in, if no information on past awardees is provided. Say what to fill in, if participants do not find any information on past awardees",pilot extraction,,,,,,
11/3/2022 22:05:03,Yefeng Yang,,American Association for the Advancement of Science (AAAS) Newcomb Cleveland Prize,"https://www.science.org/content/page/aaas-newcomb-cleveland-prize

Comment 1: tell participants what to fill in, if no such a link providing eligibility and assessment criteria

Commeng 2: we should have an questions like ""Any eligibility and assessment criteria are provided?"" If no, all the following questions do not need to answer. Because all answers would be no or unclear",,,,Science,American Association for the Advancement of Science,,,,,unclear,,no,"shoud have ""unclear"" option in the above question",yes,"The American Association for the Advancement of Science (AAAS) is committed to equal opportunity for all persons, without regard to race, color, religion, sexual orientation, gender, gender identity, national origin, age, disability, veteran status, or other protected categories. AAAS seeks as diverse a pool of award nominations as possible, including as well a wide range of disciplines, institutional types, and geographical locations.",yes,Final selection is determined by a panel of distinguished scientists appointed by the editor-in-chief of Science,no,,no,,yes,"An eligible paper is one that includes original research data, theory, or synthesis; is a fundamental contribution to basic knowledge or is a technical achievement of far-reaching consequence; and is a first-time publication of the author’s own work. ",no,,no,self-nominations will not be accepted for the AAAS Newcomb Cleveland Prize. ,no,Nominations must be submitted in our online form by June 30,https://www.aaas.org/awards/newcomb-cleveland-prize/recipients?adobe_mc=MCMID%3D10081431545961229850104625194477364483%7CMCORGID%3D242B6472541199F70A4C98A6%2540AdobeOrg%7CTS%3D1667472481&_ga=2.268367817.659841404.1667472456-1616785751.1631022217,2022,1923,,pilot extraction,,,,,,
2/13/2023 15:44:51,Losia Lagisz,"Biochemistry, Genetics and Molecular Biology",Publisher's Award for Excellence in Systematic Research,https://www.systbio.org/publishers-award.html,This Award is sponsored by Systematic Biology's publisher. The award is presented to the two best papers based on student research published in Systematic Biology during the previous year. The lead author must have been a student at the time the research was conducted. The Publisher's Award is $US 500 and is presented at the annual meeting to the student authors. If an article is co-authored by 2 or more students then special arrangements can be made to ensure appropriate recognition of each. The award was initiated with Volume 48 (1998) and the first award was presented at the 1999 meeting. The winner is selected by a committee consisting of the President and the Editor. No application is required.,yes (eligible award),,Systematic Biology,Society of Systematic Biologists,NA,,yes,500 USD,student,The lead author must have been a student at the time the research was conducted.,not applicable,The lead author must have been a student at the time the research was conducted.,no,,yes, The winner is selected by a committee consisting of the President and the Editor. ,no,,no,,no,The award is presented to the two best papers based on student research published in Systematic Biology during the previous year.,no,,no,,no,,https://www.systbio.org/publishers-award.html,2021,1998,"before 2000 no publication information is provided, just thewinners' names",,,,,,,
2/13/2023 15:52:12,Losia Lagisz,"Biochemistry, Genetics and Molecular Biology",James R. Gillette Award,https://www.aspet.org/aspet/membership-community/divisions/division-for-drug-metabolism-and-disposition-(dmdd)/james-r-gillette-award,"The James R. Gillette Award is presented each year for two outstanding papers published in Drug Metabolism and Disposition, one each in the broad categories of a) Drug Metabolism and b) Disposition and Pharmacokinetics. ",yes (eligible award),,Drug Metabolism and Disposition,"The American Society for Pharmacology and Experimental Therapeutics (ASPET), The Drug Metabolism and Disposition Division (DMDD)",NA,,yes,250 USD,any career stage,,not applicable,"All manuscripts published in Drug Metabolism and Disposition (DMD) in a given calendar year are eligible. After the last issue of the year has closed, the DMD editor provides a list of the nominated manuscripts to the Drug Metabolism and Disposition Division.",no,,yes,"
Selections are made based on the primary review of the manuscript for publication, followed by a secondary review by the James R. Gillette Best Paper Award Committee. The Award Committee consists of members of the executive committee, is chaired by the Division for Drug Metabolism and Disposition’s Past-Chair, and may include outside expertise as necessary. Award winners are selected at the end of the calendar year, and notified in January or February. Current division chairs and secretary/treasurers and the ASPET Council president and secretary/treasurer are ineligible for division awards during their active tenure.",no,,no,,no,,no,,no,,no,,https://www.aspet.org/aspet/membership-community/divisions/division-for-drug-metabolism-and-disposition-(dmdd)/james-r-gillette-award,2021,2009,,,,,,,,
2/13/2023 16:07:31,Losia Lagisz,"Biochemistry, Genetics and Molecular Biology",SMBE Best Graduate Student Paper,https://www.smbe.org/smbe/AWARDS/StudentandPostdoctoralFellowAwards/BestGraduateStudentPaperAward.aspx,"These awards provide recognition for outstanding student papers in both SMBE journals. All articles published in the two SMBE journals, Molecular Biology & Evolution and Genome Biology & Evolution, in the calendar year prior to the meeting are eligible for nomination. The best student paper of the year in each journal will receive the prize. ligibility & Nomination:

1. All articles published in the two SMBE journals, Molecular Biology & Evolution and Genome Biology & Evolution (one prize for each journal), in the calendar year 2021 are automatically eligible if the final publication date of the nominated paper is not more than two years later than the date of the nominee's Ph.D.

2. The nominated graduate student must be the first author or joint first-author of the nominated paper.

3. An article and its first author can be nominated by anyone; self-nominations are acceptable.

4. A signed letter from the Ph.D. advisor, MSc advisor, or equivalent, confirming that the paper was part of the nominee’s thesis or graduate work is required.

5. The deadline for submitting nominations is June 15, 2022.
The nomination must provide:

Shared first-authorship is also subject to nomination; if both first-authors are students and the article wins, the award will go to both authors.
A signed letter from the PhD advisor, MSc advisor, or equivalent, confirming that the paper was part of the nominee’s thesis or graduate work
Process: The editor-in-chief of each journal will convene separate selection committees, which will choose one awardee each.
The Prize: The best student paper winners will receive a prize each of $500USD, runners up a prize each of $100USD.

How to Enter
Please send the name of the nominee, a scan of the signed advisor letter, and the name of the paper for which the award is to be considered as a SINGLE PDF to smbe@allenpress.com. Please use the email subject line ""MBE/GBE Best Student Paper Nomination"", deleting journal name as appropriate.",yes (eligible award),,Molecular Biology & Evolution; Genome Biology & Evolution,Society of Molecular Biology and Evolution,NA,,yes,500 USD,student,"1. All articles published in the two SMBE journals, Molecular Biology & Evolution and Genome Biology & Evolution (one prize for each journal), in the calendar year 2021 are automatically eligible if the final publication date of the nominated paper is not more than two years later than the date of the nominee's Ph.D.

2. The nominated graduate student must be the first author or joint first-author of the nominated paper.",no,"1. All articles published in the two SMBE journals, Molecular Biology & Evolution and Genome Biology & Evolution (one prize for each journal), in the calendar year 2021 are automatically eligible if the final publication date of the nominated paper is not more than two years later than the date of the nominee's Ph.D.

2. The nominated graduate student must be the first author or joint first-author of the nominated paper.",no,,yes,"Process: The editor-in-chief of each journal will convene separate selection committees, which will choose one awardee each.",no,,no,,no,,no,,yes,3. An article and its first author can be nominated by anyone; self-nominations are acceptable.,yes,"4. A signed letter from the Ph.D. advisor, MSc advisor, or equivalent, confirming that the paper was part of the nominee’s thesis or graduate work is required.",https://www.smbe.org/smbe/AWARDS/StudentandPostdoctoralFellowAwards/BestGraduateStudentPaperAward.aspx,2021,2016,,awardees for two journals separately (i.e. 2 per year),,,,,,
2/13/2023 21:40:32,Losia Lagisz,"Biochemistry, Genetics and Molecular Biology",AJHG Trainee (C.W. Cotterman) Award,https://www.ashg.org/membership/awards/cotterman/,"In January 2023, as part of its response to the Facing Our History – Building an Equitable Future initiative findings, ASHG suspended the use of individual names for all of its awards, pending review of any affiliation with eugenics or other harms. Until decisions are made about a naming policy and practice, ASHG’s awards have only descriptive titles. While that review occurs, this award will be referred to as the AJHG Trainee Award. Formerly, it was the AJHG C.W. Cotterman Award.

Each September, the editorial board of The American Journal of Human Genetics selects two trainee-authored articles published in AJHG in the previous year that best represent outstanding scientific contributions to the field of human genetics. Two AJHG Trainee Awards will be given annually, with a monetary award of $1,000 and a plaque presented to the recipients at the Annual Meeting.",yes (eligible award),,American Journal of Human Genetics,American Society of Human Genetics,NA,,yes,1000 USD,"student, early-career","To be awarded the AJHG Trainee Award, nominees must:
Have published a paper in AJHG in the last year as first author
Be a pre- or post- doctoral trainee
Be an ASHG member",not applicable,"To be awarded the AJHG Trainee Award, nominees must:
Have published a paper in AJHG in the last year as first author
Be a pre- or post- doctoral trainee
Be an ASHG member",no,,yes,"Each September, the editorial board of The American Journal of Human Genetics selects two trainee-authored articles published in AJHG in the previous year that best represent outstanding scientific contributions to the field of human genetics. ",no,,no,,no,"Each September, the editorial board of The American Journal of Human Genetics selects two trainee-authored articles published in AJHG in the previous year that best represent outstanding scientific contributions to the field of human genetics. ",no,,no,,no,,https://www.ashg.org/membership/awards/past-recipients/#cotterman,2022,2001,two awards per year,,,,,,,
2/13/2023 21:48:21,Losia Lagisz,"Biochemistry, Genetics and Molecular Biology",JITC Best Paper Awards,"https://www.sitcancer.org/aboutsitc/awards/jitc#:~:text=The%20annual%20Journal%20for%20ImmunoTherapy,and%20discussion%20in%20their%20manuscripts.","The annual Journal for ImmunoTherapy of Cancer (JITC) best paper awards celebrate excellence in scientific research and are awarded to researchers demonstrating leadership in the field as well as innovation and high-quality execution and discussion in their manuscripts.

Papers published in the last 12 months are eligible for nomination for these awards. Papers are nominated by the editorial board based on the following criteria:",yes (eligible award),,Journal for ImmunoTherapy of Cancer,Society for ImmunoTherapy of Cancer,NA,,no,,any career stage,,not applicable,"The annual Journal for ImmunoTherapy of Cancer (JITC) best paper awards celebrate excellence in scientific research and are awarded to researchers demonstrating leadership in the field as well as innovation and high-quality execution and discussion in their manuscripts.

Papers published in the last 12 months are eligible for nomination for these awards. Papers are nominated by the editorial board based on the following criteria: [criteria related to topics only]",no,,no,Papers are nominated by the editorial board based on the following criteria: [criteria related to topics only],no,,no,,no,Papers are nominated by the editorial board based on the following criteria: [criteria related to topics only],no,,no,Papers are nominated by the editorial board based on the following criteria: [criteria related to topics only],no,,"https://www.sitcancer.org/aboutsitc/awards/jitc#:~:text=The%20annual%20Journal%20for%20ImmunoTherapy,and%20discussion%20in%20their%20manuscripts.",2022,2014,several sub-categories of the award - extract all,,,,,,,
2/13/2023 21:53:15,Losia Lagisz,"Biochemistry, Genetics and Molecular Biology",COSB Best Paper Award,https://www.sciencedirect.com/journal/current-opinion-in-structural-biology/about/announcements,"Current Opinion in Structural Biology is pleased to announce the winners of the inaugural 2021 Best Paper award for the journal, as nominated by the corresponding Section Editors and voted for by the Editors-in-Chief. The winning articles were chosen based on originality, impact, and scientific rigor, and any that are not already open access are now freely available until April 30, 2023.",yes (eligible award),,Current Opinion in Structural Biology,NA,NA,,no,,any career stage,,not applicable,"Current Opinion in Structural Biology is pleased to announce the winners of the inaugural 2021 Best Paper award for the journal, as nominated by the corresponding Section Editors and voted for by the Editors-in-Chief.",no,,yes,"Current Opinion in Structural Biology is pleased to announce the winners of the inaugural 2021 Best Paper award for the journal, as nominated by the corresponding Section Editors and voted for by the Editors-in-Chief.",no,,no,,no,"The winning articles were chosen based on originality, impact, and scientific rigor, and any that are not already open access are now freely available until April 30, 2023.",no,,no,,no,,https://www.sciencedirect.com/journal/current-opinion-in-structural-biology/about/announcements,2021,2021,2021 is the first year of the award,,,,,,,
