Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,864265,847530,4173502,2887128,4.83,1210
2,United States,Northern America,731074,641180,3481504,1334302,4.76,2880
3,United Kingdom,Western Europe,243118,208390,1378513,305498,5.67,1815
4,India,Asiatic Region,241933,216459,872171,340260,3.61,795
5,Germany,Western Europe,208663,188433,1010085,258081,4.84,1584
6,Italy,Western Europe,156427,138880,819408,234651,5.24,1255
7,Japan,Asiatic Region,145431,135655,512384,131537,3.52,1236
8,Russian Federation,Eastern Europe,130197,125248,263192,103638,2.02,702
9,Canada,Northern America,129764,116212,691674,123947,5.33,1460
10,France,Western Europe,129671,116959,665100,123216,5.13,1420
11,Australia,Pacific Region,122727,109960,753327,145080,6.14,1276
12,Spain,Western Europe,122393,112314,580147,126970,4.74,1127
13,Brazil,Latin America,100712,94428,343656,88876,3.41,729
14,South Korea,Asiatic Region,100623,97199,484829,101653,4.82,863
15,Iran,Middle East,75569,72830,372129,107951,4.92,445
16,Netherlands,Western Europe,73414,66196,459120,71105,6.25,1284
17,Turkey,Middle East,65783,60577,254215,58701,3.86,562
18,Poland,Eastern Europe,62207,58345,251110,62087,4.04,687
19,Switzerland,Western Europe,57468,52004,360203,54365,6.27,1212
20,Indonesia,Asiatic Region,52079,51075,88178,31878,1.69,288
21,Sweden,Western Europe,49251,45212,294088,42964,5.97,1087
22,Saudi Arabia,Middle East,47487,46025,321709,89035,6.77,517
23,Taiwan,Asiatic Region,45461,43264,210306,40065,4.63,648
24,Malaysia,Asiatic Region,42111,39833,190106,42904,4.51,450
25,Belgium,Western Europe,41149,37289,248507,33853,6.04,995
26,Egypt,Africa/Middle East,38149,36674,214524,67542,5.62,369
27,Portugal,Western Europe,36247,32511,169148,29187,4.67,636
28,Pakistan,Asiatic Region,36182,34623,219470,67711,6.07,381
29,Denmark,Western Europe,35041,31903,233097,31447,6.65,949
30,Mexico,Latin America,33739,31216,121940,20414,3.61,563
31,South Africa,Africa,33292,29938,155983,29673,4.69,597
32,Austria,Western Europe,33205,29841,178360,26146,5.37,822
33,Norway,Western Europe,29603,26933,159498,24280,5.39,785
34,Hong Kong,Asiatic Region,28752,27005,219605,27833,7.64,737
35,Czech Republic,Eastern Europe,28185,26674,117551,20813,4.17,580
36,Israel,Middle East,26790,24281,144809,20373,5.41,865
37,Singapore,Asiatic Region,26558,24065,201308,23107,7.58,746
38,Greece,Western Europe,26280,23287,134063,22929,5.1,639
39,Finland,Western Europe,25093,22920,143300,21031,5.71,793
40,Thailand,Asiatic Region,25037,23956,98213,20766,3.92,418
41,Ukraine,Eastern Europe,21319,20553,42898,20582,2.01,336
42,Ireland,Western Europe,20967,18385,124221,15162,5.92,665
43,Chile,Latin America,20112,19051,84688,15304,4.21,478
44,New Zealand,Pacific Region,19197,17092,98863,14978,5.15,671
45,Romania,Eastern Europe,18801,17705,73465,14609,3.91,384
46,Viet Nam,Asiatic Region,18188,17408,102929,17450,5.66,282
47,Colombia,Latin America,17721,16584,56183,9672,3.17,372
48,Argentina,Latin America,17379,16058,64726,9684,3.72,534
49,Iraq,Middle East,17264,16918,55545,18860,3.22,168
50,Nigeria,Africa,16853,15580,66131,15888,3.92,270
51,Hungary,Eastern Europe,14571,13593,68409,10800,4.69,567
52,United Arab Emirates,Middle East,13168,12186,87494,12883,6.64,295
53,Bangladesh,Asiatic Region,13047,12230,74648,18613,5.72,269
54,Morocco,Africa,11427,10778,42415,11435,3.71,242
55,Slovakia,Eastern Europe,10011,9492,34191,6576,3.42,337
56,Croatia,Eastern Europe,9837,9201,38603,6425,3.92,356
57,Algeria,Africa,9797,9529,33490,7932,3.42,222
58,Serbia,Eastern Europe,9753,9076,38197,6151,3.92,321
59,Tunisia,Africa,9276,8785,33112,6068,3.57,244
60,Ethiopia,Africa,8912,8636,35966,9330,4.04,202
61,Slovenia,Eastern Europe,8456,7887,39907,5499,4.72,382
62,Jordan,Middle East,7910,7651,39396,8875,4.98,228
63,Peru,Latin America,7729,7107,24803,4944,3.21,293
64,Bulgaria,Eastern Europe,7575,7140,23097,3860,3.05,322
65,Philippines,Asiatic Region,6906,6482,24476,4307,3.54,302
66,Qatar,Middle East,6189,5709,46914,5678,7.58,259
67,Ecuador,Latin America,6155,5897,18656,3922,3.03,204
68,Kazakhstan,Asiatic Region,6003,5759,17685,4181,2.95,143
69,Lithuania,Eastern Europe,5525,5251,25023,3766,4.53,280
70,Kenya,Africa,5274,4773,23735,3624,4.5,319
71,Ghana,Africa,5272,4965,21018,3983,3.99,200
72,Estonia,Eastern Europe,4625,4238,26136,3369,5.65,360
73,Cyprus,Western Europe,4586,4120,25959,2970,5.66,276
74,Lebanon,Middle East,4573,4119,25482,2778,5.57,272
75,Sri Lanka,Asiatic Region,4002,3712,17033,1999,4.26,231
76,Oman,Middle East,3548,3258,20048,2257,5.65,194
77,Macao,Asiatic Region,3498,3380,25142,2157,7.19,202
78,Nepal,Asiatic Region,3410,3189,14298,1861,4.19,179
79,Uzbekistan,Asiatic Region,3304,3240,6687,3555,2.02,116
80,Latvia,Eastern Europe,3236,3106,11679,2106,3.61,208
81,Uganda,Africa,3017,2787,14229,2241,4.72,217
82,Belarus,Eastern Europe,2922,2861,8556,1304,2.93,220
83,Kuwait,Middle East,2888,2746,16727,1736,5.79,206
84,Luxembourg,Western Europe,2812,2559,16308,1686,5.8,250
85,Cuba,Latin America,2667,2436,5396,792,2.02,208
86,Tanzania,Africa,2659,2471,10550,1603,3.97,213
87,Cameroon,Africa,2596,2472,10210,2100,3.93,170
88,Uruguay,Latin America,2444,2243,9747,1027,3.99,228
89,Georgia,Eastern Europe,2115,1900,12939,1141,6.12,228
90,Bosnia and Herzegovina,Eastern Europe,2114,1987,5781,650,2.73,132
91,Iceland,Western Europe,2062,1891,12403,1224,6.02,371
92,Azerbaijan,Eastern Europe,1925,1857,6364,1307,3.31,141
93,Costa Rica,Latin America,1717,1600,6589,737,3.84,221
94,Sudan,Africa,1702,1608,7125,805,4.19,129
95,Yemen,Middle East,1651,1598,9506,2034,5.76,103
96,Venezuela,Latin America,1608,1504,4508,561,2.8,265
97,Palestine,Middle East,1538,1471,9985,1483,6.49,131
98,Bahrain,Middle East,1513,1394,6355,763,4.2,114
99,Zimbabwe,Africa,1466,1255,5501,832,3.75,175
100,Malta,Western Europe,1311,1114,6758,761,5.15,169
101,Armenia,Eastern Europe,1281,1207,4455,806,3.48,221
102,Malawi,Africa,1262,1151,5110,680,4.05,177
103,Macedonia,Eastern Europe,1154,1074,6191,413,5.36,156
104,Libya,Africa,1082,1036,4731,460,4.37,99
105,Senegal,Africa,1058,974,3293,375,3.11,150
106,Puerto Rico,Latin America,1040,944,4997,285,4.8,265
107,Syrian Arab Republic,Middle East,1030,989,3621,497,3.52,136
108,Zambia,Africa,1004,923,4416,616,4.4,152
109,Botswana,Africa,996,903,3787,410,3.8,132
110,Rwanda,Africa,992,911,4946,562,4.99,106
111,Panama,Latin America,954,899,5369,542,5.63,246
112,Brunei Darussalam,Asiatic Region,943,786,4864,609,5.16,117
113,Albania,Eastern Europe,921,845,4633,529,5.03,95
114,Benin,Africa,902,872,3150,436,3.49,114
115,Mongolia,Asiatic Region,868,812,3006,383,3.46,125
116,Myanmar,Asiatic Region,859,808,3213,245,3.74,96
